business_month,total_profit
Uber-4,1.502698201941709E8
Uber-2,1.3062880563633615E8
Lyft-3,-99403.93998675235
Uber-5,1.6313361550055724E8
Uber-1,1.3319711162465689E8
Lyft-2,-70064.72000297531
Lyft-4,-90197.13001759537
Lyft-5,-107719.21000343934
Lyft-1,-72633.3500049822
Uber-3,1.5207287641912198E8
